# gruntz match baseline - generated by scripts/match_status.py. DO NOT hand-edit.
#   units rows:     unit  n_functions  matched   (matched = at 100% fuzzy now;
#                    the README's per-module 'exact' uses objdiff's byte-exact count)
#   function rows:  unit  function  best_pct  cur_pct  tries  src_hash
#   best_pct = best-ever (max) objdiff fuzzy% - the REGRESSION gate (may be 100%).
#   cur_pct  = fuzzy% at THIS commit - `diff <revA> [<revB>]` two commits to see
#              the moves (e.g. unit 5->10 fns, a fn 10%->40%) while best_pct holds.
#   tries    = times this function's source fingerprint changed (how much it has
#              been worked on - high = hard to match).
#   src_hash = per-function source fingerprint (editing a fn bumps tries + resets best).
# Query: scripts/match_status.py check | status | summary | diff <revA> [<revB>]
# [units]	unit	n_functions	matched
adler32	1	1
cddrawworkerregistry	?VirtualMethodUnknown54@CDDrawWorkerRegistry@@QAEXPBD@Z	77.5185	77.5185	1	8644c96aea07
cddrawworkerregistry	?VirtualMethodUnknown58@CDDrawWorkerRegistry@@QAEXXZ	100.0000	100.0000	1	3316be7a29ff
cddrawworkers	?Vfunc2C@CDDrawWorkerA@@QAEHHHH@Z	100.0000	100.0000	1	e80b8eaba57f
cddrawworkers	?Vfunc2C@CDDrawWorkerB@@QAEHHHH@Z	100.0000	100.0000	1	4a7878d8351e
cddrawworkers	?Vfunc34@CDDrawWorkerB@@QAEHHHHH@Z	100.0000	100.0000	1	c10b41306d98
cplay	?OnRegion1@CPlay@@QAEHH@Z	100.0000	100.0000	2	9ec290bf6c91
cplay	?OnRegion2@CPlay@@QAEHH@Z	100.0000	100.0000	2	146a45bff09d
cplay	?OnRegion3@CPlay@@QAEHH@Z	100.0000	100.0000	2	fabb69a289ed
cplay	?OnRegion4@CPlay@@QAEHH@Z	100.0000	100.0000	2	7bad85215396
cplay	?PlayCueAt@CPlay@@QAEXHHHHHHHH@Z	87.5385	87.5385	3	c218d24eaa60
cplay	?Render@CPlay@@UAEHXZ	0.0000	0.0000	2	ed4bad6c6e8e
cplay	?SetBeginClearParams@CState@@QAEHHHH@Z	100.0000	100.0000	1	547f61043c4d
cplay	?StepC@CPlay@@QAEXXZ	85.4545	85.4545	2	95cc335622ff
cplay	?StepInputA@CPlay@@QAEHXZ	89.8077	89.8077	2	00344b5647aa
cplay	?StepScroll@CPlay@@QAEXXZ	78.2069	78.2069	2	be68ce6317d7
cplay	?Stub_08c9d0@CPlay@@QAEXXZ	0.7407	0.7407	1	dd82507c1529
deflate	_deflate_fast	100.0000	100.0000	1	3de2151b888f
deflate	_deflate_slow	100.0000	100.0000	1	963869a51c2d
deflate	_deflate_stored	100.0000	100.0000	1	f3d8403d157d
deflate	_fill_window	100.0000	100.0000	1	a110d36769c7
deflate	_longest_match	100.0000	100.0000	1	18824b519e86
deflate	_read_buf	100.0000	100.0000	1	b66aa815658a
dialogs	??0CBattlezDlg@@QAE@HPAVCWnd@@@Z	100.0000	100.0000	2	d85f205465da
dialogs	??0CBattlezDlgColors@@QAE@HHHPAVCWnd@@@Z	100.0000	100.0000	2	279114ddb613
dialogs	??0CBattlezDlgCustom@@QAE@PAVCWnd@@@Z	100.0000	100.0000	2	e2d11a618519
dialogs	??0CCheckpointDlg@@QAE@PAVCWnd@@@Z	100.0000	100.0000	1	ffbbed987946
dialogs	??0CMultiStartDlg@@QAE@HPAVCWnd@@@Z	100.0000	100.0000	2	d9733b0005f7
dialogs	?InitPlayerSlots@CMultiStartDlg@@QAEXXZ	0.1294	0.1294	1	59ab257d4f93
engine_label_stubs	??0CActionArea@@QAE@XZ	0.7547	0.7547	1	cpp:45e65336d4b5
engine_label_stubs	??0CAniCycle@@QAE@XZ	0.8421	0.8421	1	cpp:45e65336d4b5
engine_label_stubs	??0CBehindCandy@@QAE@XZ	0.6838	0.6838	1	cpp:45e65336d4b5
engine_label_stubs	??0CBehindCandyAni@@QAE@XZ	0.5970	0.5970	1	cpp:45e65336d4b5
engine_label_stubs	??0CBoomerang@@QAE@XZ	6.1538	6.1538	1	cpp:45e65336d4b5
engine_label_stubs	??0CBrickz@@QAE@XZ	0.7407	0.7407	1	cpp:45e65336d4b5
engine_label_stubs	??0CCheckpointTrigger@@QAE@XZ	0.4819	0.4819	1	cpp:45e65336d4b5
engine_label_stubs	??0CCheckpointTriggerSwitchLogic@@QAE@XZ	20.0000	20.0000	1	cpp:45e65336d4b5
engine_label_stubs	??0CCoveredPowerup@@QAE@XZ	8.8889	8.8889	1	cpp:45e65336d4b5
engine_label_stubs	??0CCoveredPowerupLogic@@QAE@XZ	20.0000	20.0000	1	cpp:45e65336d4b5
engine_label_stubs	??0CCursorSnapSprite@@QAE@XZ	1.2871	1.2871	1	cpp:45e65336d4b5
engine_label_stubs	??0CDoNothing@@QAE@XZ	0.6838	0.6838	1	cpp:45e65336d4b5
engine_label_stubs	??0CDoNothingNormal@@QAE@XZ	1.5054	1.5054	1	cpp:45e65336d4b5
engine_label_stubs	??0CDroppedObject@@QAE@XZ	0.5970	0.5970	1	cpp:45e65336d4b5
engine_label_stubs	??0CDroppedObjectShadow@@QAE@XZ	0.7477	0.7477	1	cpp:45e65336d4b5
engine_label_stubs	??0CExitTrigger@@QAE@XZ	0.4396	0.4396	1	cpp:45e65336d4b5
engine_label_stubs	??0CExplosion@@QAE@XZ	0.8163	0.8163	1	cpp:45e65336d4b5
engine_label_stubs	??0CEyeCandy@@QAE@XZ	0.6349	0.6349	1	cpp:45e65336d4b5
engine_label_stubs	??0CEyeCandyAni@@QAE@XZ	0.5594	0.5594	1	cpp:45e65336d4b5
engine_label_stubs	??0CFortressFlag@@QAE@XZ	0.5926	0.5926	1	cpp:45e65336d4b5
engine_label_stubs	??0CFrontCandy@@QAE@XZ	0.6780	0.6780	1	cpp:45e65336d4b5
engine_label_stubs	??0CFrontCandyAni@@QAE@XZ	0.8247	0.8247	1	cpp:45e65336d4b5
