# MANUALLY MANAGED - the admitted retail .text partition: one row per
# function START (rva) plus its structural kind. No sizes and no names:
# a row's extent is DERIVED to the next row's rva (the last row ends at
# .text's virtual end), so it spans the function's whole contribution,
# trailing jump tables included. The exact CODE size of a byte-matched
# body lives on its claim - RVA(rva, size) in src/, or the size column
# of functions_zlib.tsv. kind: (empty) body | thunk (ILT/IAT glue) |
# eh (/GX funclet band) | helper (compiler 5-byte jmp forwarder, target
# re-proven from EXE bytes) | pad (non-code fill; partition bookkeeping).
# Initially admitted from the last Ghidra analysis export; boundary
# corrections are edited here. The build never regenerates this file and
# never consults a Ghidra database.
rva	kind
0x0026f8	thunk
0x0026fd	thunk
0x002707	thunk
0x002716	thunk
0x002720	thunk
0x00272a	thunk
0x00272f	thunk
0x002734	thunk
0x002739	thunk
0x00273e	thunk
0x00275c	thunk
0x002761	thunk
0x00276b	thunk
0x002770	thunk
0x002775	thunk
0x00277a	thunk
0x00277f	thunk
0x002784	thunk
0x002789	thunk
0x00278e	thunk
0x002793	thunk
0x002798	thunk
0x00279d	thunk
0x0027a2	thunk
0x0027a7	thunk
0x0027ac	thunk
0x0027b1	thunk
0x0027b6	thunk
0x0027bb	thunk
0x0027c5	thunk
0x0027d4	thunk
0x0027d9	thunk
0x0027ed	thunk
0x0027f7	thunk
0x002801	thunk
0x002806	thunk
0x00280b	thunk
0x002810	thunk
0x002815	thunk
0x00281a	thunk
0x002824	thunk
0x002829	thunk
0x00282e	thunk
0x002833	thunk
0x002838	thunk
0x002851	thunk
0x00285b	thunk
0x00286a	thunk
0x00286f	thunk
0x002874	thunk
0x002879	thunk
0x00287e	thunk
0x002897	thunk
0x0028a6	thunk
0x0028ab	thunk
0x0028ba	thunk
0x0028c4	thunk
0x0028c9	thunk
0x0028ce	thunk
0x0028d3	thunk
0x0028d8	thunk
0x0028dd	thunk
0x0028e2	thunk
0x0028e7	thunk
0x0028f6	thunk
0x0028fb	thunk
0x002900	thunk
0x00290a	thunk
0x00290f	thunk
0x002914	thunk
0x002919	thunk
0x00291e	thunk
0x002932	thunk
0x002937	thunk
0x00293c	thunk
0x002941	thunk
0x002955	thunk
0x00295a	thunk
0x00295f	thunk
0x002964	thunk
0x002969	thunk
0x00296e	thunk
0x002973	thunk
0x002978	thunk
0x002982	thunk
0x00298c	thunk
0x0029a0	thunk
0x0029a5	thunk
0x0029aa	thunk
0x0029af	thunk
0x0029b4	thunk
0x0029b9	thunk
0x0029be	thunk
0x0029c3	thunk
0x0029cd	thunk
0x0029d7	thunk
0x0029dc	thunk
0x0029e6	thunk
0x0029f0	thunk
0x0029fa	thunk
0x0029ff	thunk
0x002a09	thunk
0x002a0e	thunk
0x002a1d	thunk
0x002a22	thunk
0x002a2c	thunk
0x002a31	thunk
0x002a36	thunk
0x002a3b	thunk
0x002a45	thunk
0x002a4a	thunk
0x002a54	thunk
0x002a59	thunk
0x002a68	thunk
0x002a72	thunk
0x002a77	thunk
0x002a7c	thunk
0x002a90	thunk
0x002aa9	thunk
0x002aae	thunk
0x002ab3	thunk
0x002ab8	thunk
0x002acc	thunk
0x002ad6	thunk
0x002adb	thunk
0x002ae0	thunk
0x002ae5	thunk
0x002aef	thunk
0x002b03	thunk
0x002b12	thunk
0x002b17	thunk
0x002b1c	thunk
0x002b21	thunk
0x002b30	thunk
0x002b35	thunk
0x002b3a	thunk
0x002b44	thunk
0x002b49	thunk
0x002b4e	thunk
0x002b58	thunk
0x002b5d	thunk
0x002b62	thunk
0x002b67	thunk
0x002b6c	thunk
0x002b85	thunk
0x002b8a	thunk
0x002b8f	thunk
0x002b99	thunk
0x002bbc	thunk
0x002bc6	thunk
0x002bcb	thunk
0x002bd5	thunk
0x002bda	thunk
0x002bdf	thunk
0x002bf3	thunk
0x002bf8	thunk
0x002bfd	thunk
0x002c02	thunk
0x002c0c	thunk
0x002c11	thunk
0x002c16	thunk
0x002c20	thunk
0x002c25	thunk
0x002c39	thunk
0x002c3e	thunk
0x002c43	thunk
0x002c48	thunk
0x002c4d	thunk
0x002c57	thunk
0x002c66	thunk
0x002c6b	thunk
0x002c70	thunk
0x002c75	thunk
0x002c7f	thunk
0x002c84	thunk
0x002c89	thunk
