file	line	owner	member	type	offset	bytes	member_alignment	owner_size	owner_alignment	previous	next	reference_sites	removal	disposition	references	history_query	preceding_pack_directives
include/Gruntz/BattlezMapConfig.h	175	CBattlezMapConfig	m_reserved13c	i32	0x13c	4	4	0x1e8	4	m_reserved12c	m_roundRobinTick	4	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:139; src/Gruntz/BattlezMapConfig.cpp:2335; src/Gruntz/BattlezMapConfig.cpp:2425; src/Gruntz/BattlezMapConfig.cpp:359	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	177	CBattlezMapConfig	m_reserved144	i32	0x144	4	4	0x1e8	4	m_roundRobinTick	m_claimTimer	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2337; src/Gruntz/BattlezMapConfig.cpp:2427; src/Gruntz/BattlezMapConfig.cpp:266	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/BattlezMapConfig.h	179	CBattlezMapConfig	m_reserved14c	i32	0x14c	4	4	0x1e8	4	m_claimTimer	m_toolzPct	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BattlezMapConfig.cpp:2339; src/Gruntz/BattlezMapConfig.cpp:2429; src/Gruntz/BattlezMapConfig.cpp:263	git log --follow -- include/Gruntz/BattlezMapConfig.h	none in header
include/Gruntz/Demo.h	23	CDemo	m_reserved524	i32	0x524	4	4	0x528	4	m_demoCountdown		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Demo.h	none in header
include/Gruntz/DemoHelpers.h	16	CDemoSetup	m_pad0	char[12]	0x0	12	1	0x10	4		m_world	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/DemoHelpers.h	none in header
include/Gruntz/Dialogs.h	76	CBattlezDlg	m_pad60	char[8]	0x60	8	1	0x70	4	m_gameManager	m_customNameFlag	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Dialogs.h	none in header
include/Gruntz/Dialogs.h	274	CMultiStartDlg	m_pad64	char[8]	0x64	8	1	0x90	4	m_latencyOptions	m_customMapSelection	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Dialogs.h	none in header
include/Gruntz/Dialogs.h	277	CMultiStartDlg	m_reserved74	CStringList	0x74	28	4	0x90	4	m_worldName		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Dialogs.h	none in header
include/Gruntz/DirectionClassify.h	14	MotionEntity	m_pad00	char[120]	0x0	120	1	0x148	8		m_positionX	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/DirectionClassify.h	none in header
include/Gruntz/DirectionClassify.h	17	MotionEntity	m_pad88	char[184]	0x88	184	1	0x148	8	m_positionY	m_gridX	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/DirectionClassify.h	none in header
include/Gruntz/DroppedObject.h	31	CDroppedObject	m_pad54	char[4]	0x54	4	1	0x70	8		m_timePerTile	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/DroppedObject.h	none in header
include/Gruntz/FaderSubtypes.h	187	CFaderShape	m_pad78	char[1024]	0x78	1024	1	0x494	4	m_warpHeight	m_warpTable	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/FaderSubtypes.h	none in header
include/Gruntz/FixedPtrArray32.h	16	CFixedPtrArray32	m_reserved00	i32	0x0	4	4	0x88	4		m_count	2	parse-error	retained-referenced-storage-needs-semantic-review	include/DinMgr2/DirectInputMgr2.h:70; src/DinMgr2/DinMgr2.cpp:997	git log --follow -- include/Gruntz/FixedPtrArray32.h	none in header
include/Gruntz/FontConfig.h	67	CFontConfig	m_reserved34	i32	0x34	4	4	0x44	4	m_inputActive	m_arialFont	2	parse-error	retained-referenced-storage-needs-semantic-review	include/Gruntz/FontConfig.h:23; src/Gruntz/ChatBoxOwner.cpp:62	git log --follow -- include/Gruntz/FontConfig.h	none in header
include/Gruntz/GameInfo.h	10	CGameInfoTime	m_reserved00	i32	0x0	4	4	0x1c	4		m_score	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/GameInfo.h	none in header
include/Gruntz/GameInfo.h	17	CGameInfoTime	m_reserved	i32	0x18	4	4	0x1c	4	m_year		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/GameInfo.h	none in header
include/Gruntz/GameInfo.h	23	CGameInfoBody	m_pad08	char[8]	0x8	8	1	0xd4	4	m_version	m_name	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/GameInfo.h	none in header
include/Gruntz/GameInfo.h	40	CGameInfo	m_reserved00	char[4]	0x0	4	1	0xd8	4		m_body	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/GameInfo.h	none in header
include/Gruntz/GameMode.h	130	CCreditsState	m_reserved20c	i32	0x20c	4	4	0x218	8	m_videoPlaying	m_videoHandle	2	parse-error	retained-referenced-storage-needs-semantic-review	include/Gruntz/GameMode.h:85; src/Gruntz/CreditsState.cpp:115	git log --follow -- include/Gruntz/GameMode.h	none in header
include/Gruntz/GameMode.h	133	CCreditsState	m_pad214	char[4]	0x214	4	1	0x218	8	m_videoHandle		0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/GameMode.h	none in header
include/Gruntz/GameMode.h	257	CBootyState	m_pad31c	char[4]	0x31c	4	1	0x320	8	m_icons		0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/GameMode.h	none in header
include/Gruntz/GameMode.h	301	CMultiBootyState	m_reserved1b4	i32	0x1b4	4	4	0x244	4		m_sequenceState	2	parse-error	retained-referenced-storage-needs-semantic-review	include/Gruntz/GameMode.h:263; src/Gruntz/BootyStateActivate.cpp:1958	git log --follow -- include/Gruntz/GameMode.h	none in header
include/Gruntz/Grunt.h	299	CGrunt	m_reserved18c	i32	0x18c	4	4	0x8d8	8	m_commitPx	m_toyBlendPct	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:112; src/Gruntz/Grunt.cpp:485; src/Gruntz/GruntSteps.cpp:1501	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	306	CGrunt	m_reserved1a8	i32	0x1a8	4	4	0x8d8	8	m_helpCueId	m_reserved1ac	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:120; src/Gruntz/GruntSteps.cpp:1509	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	307	CGrunt	m_reserved1ac	i32	0x1ac	4	4	0x8d8	8	m_reserved1a8	m_reserved1b0	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:121; src/Gruntz/GruntSteps.cpp:1510	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	308	CGrunt	m_reserved1b0	i32	0x1b0	4	4	0x8d8	8	m_reserved1ac	m_reserved1b4	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:122; src/Gruntz/GruntSteps.cpp:1511	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	309	CGrunt	m_reserved1b4	i32	0x1b4	4	4	0x8d8	8	m_reserved1b0	m_selectedSprite	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:123; src/Gruntz/GruntSteps.cpp:1512	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	319	CGrunt	m_reserved1dc	Coord	0x1dc	8	4	0x8d8	8	m_arrived	m_entranceActive	4	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:128; src/Gruntz/GruntCombat.cpp:2063; src/Gruntz/GruntCombat.cpp:2064; src/Gruntz/GruntSteps.cpp:1517	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	330	CGrunt	m_reserved210	i32	0x210	4	4	0x8d8	8	m_attackTargetPx	m_struckPose	5	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:138; src/Gruntz/Grunt.cpp:1672; src/Gruntz/Grunt.cpp:1736; src/Gruntz/Grunt.cpp:362; src/Gruntz/GruntSteps.cpp:1527	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	478	CGrunt	m_reserved3dc	Coord	0x3dc	8	4	0x8d8	8	m_pickupGeoSrc	m_moveTile	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:173; src/Gruntz/GruntSteps.cpp:1562	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	484	CGrunt	m_pad3fc	char[4]	0x3fc	4	1	0x8d8	8	m_wingzTime	m_moveSpeed	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	489	CGrunt	m_reserved418	i32	0x418	4	4	0x8d8	8	m_movePosY	m_timePerTile	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:156; src/Gruntz/Grunt.cpp:486; src/Gruntz/GruntSteps.cpp:1545	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	494	CGrunt	m_reserved42c	i32	0x42c	4	4	0x8d8	8	m_powerupLoopSound	m_reserved430	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:157; src/Gruntz/Grunt.cpp:326; src/Gruntz/GruntSteps.cpp:1546	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	495	CGrunt	m_reserved430	i32	0x430	4	4	0x8d8	8	m_reserved42c	m_startingItemId	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:158; src/Gruntz/Grunt.cpp:325; src/Gruntz/GruntSteps.cpp:1547	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/Grunt.h	699	CGrunt	m_reserved8d0	i32	0x8d0	4	4	0x8d8	8	CGrunt::(anonymous union at /home/sheep/Projects/gruntz/include/Gruntz/Grunt.h:680:5)		2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GameStateRecordLoad.cpp:179; src/Gruntz/GruntSteps.cpp:1568	git log --follow -- include/Gruntz/Grunt.h	none in header
include/Gruntz/GruntVoice.h	55	CGruntVoice	m_pad74	char[4]	0x74	4	1	0x78	4	m_positionMode		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/GruntVoice.h	none in header
include/Gruntz/GruntzCommand.h	38	CGruntzCommand	m_pad07	char	0x7	1	1	0x14	4	m_scheduleSlot	m_targetXOrPlayerIndex	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/GruntzCommand.h	none in header
include/Gruntz/GruntzCommand.h	52	CGruntzCommand	m_pad12	i16	0x12	2	2	0x14	4	CGruntzCommand::(anonymous union at /home/sheep/Projects/gruntz/include/Gruntz/GruntzCommand.h:45:5)		0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/GruntzCommand.h	none in header
include/Gruntz/GruntzMapMgr.h	27	CGruntzMapMgr	m_reserved90	i32	0x90	4	4	0x94	4	m_arr		3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/BrickzLoad.cpp:167; src/Gruntz/GruntzMapMgr.cpp:29; src/Gruntz/GruntzMapMgr.cpp:56	git log --follow -- include/Gruntz/GruntzMapMgr.h	none in header
include/Gruntz/GruntzMgr.h	294	CGruntzMgr	m_reserved3c	CObject *	0x3c	4	4	0xa30	4	m_settings	m_faderMgr	4	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GruntzMgr.cpp:199; src/Gruntz/GruntzMgr.cpp:400; src/Gruntz/GruntzMgr.cpp:401; src/Gruntz/GruntzMgr.cpp:402	git log --follow -- include/Gruntz/GruntzMgr.h	none in header
include/Gruntz/GruntzMgr.h	299	CGruntzMgr	m_reserved4c	i32	0x4c	4	4	0xa30	4	m_midi	m_shadeCache	1	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GruntzMgr.cpp:203	git log --follow -- include/Gruntz/GruntzMgr.h	none in header
include/Gruntz/GruntzMgr.h	309	CGruntzMgr	m_reserved64	i32	0x64	4	4	0xa30	4	m_voiceManager	m_triggerMgr	1	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GruntzMgr.cpp:205	git log --follow -- include/Gruntz/GruntzMgr.h	none in header
include/Gruntz/GruntzMgr.h	327	CGruntzMgr	m_reserveda8	i32	0xa8	4	4	0xa30	4	m_delayedQuitPending	m_modalBusy	1	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GruntzMgr.cpp:219	git log --follow -- include/Gruntz/GruntzMgr.h	none in header
include/Gruntz/GruntzMgr.h	331	CGruntzMgr	m_reservedb4	i32	0xb4	4	4	0xa30	4	m_renderGate	m_isCheckpointPrompts	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GruntzMgr.cpp:222; src/Rez/RezSync.cpp:246	git log --follow -- include/Gruntz/GruntzMgr.h	none in header
include/Gruntz/GruntzMgr.h	338	CGruntzMgr	m_reservedcc	i32	0xcc	4	4	0xa30	4	m_strWorldFile	m_driveLetter	1	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/GruntzMgr.cpp:229	git log --follow -- include/Gruntz/GruntzMgr.h	none in header
include/Gruntz/GruntzMgr.h	340	CGruntzMgr	m_padD1	char[3]	0xd1	3	1	0xa30	4	m_driveLetter	m_driveLetterProbed	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/GruntzMgr.h	none in header
include/Gruntz/GruntzMgr.h	370	CGruntzMgr	m_pad14c	char[4]	0x14c	4	1	0xa30	4	m_viewBounds	m_players	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/GruntzMgr.h	none in header
include/Gruntz/GruntzPlayer.h	69	GruntzPlayer	m_pad034	char[4]	0x34	4	1	0x238	4	m_optionsPresenceCounted	m_battlezConfig	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/GruntzPlayer.h	none in header
include/Gruntz/GruntzPlayer.h	77	GruntzPlayer	m_pad234	char[4]	0x234	4	1	0x238	4	m_latency		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/GruntzPlayer.h	none in header
include/Gruntz/HelpState.h	25	CHelpState	m_pad1b4	char[4]	0x1b4	4	1	0x1b8	4			0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/HelpState.h	none in header
include/Gruntz/ImageSets.h	21	WwdTileImageRecord	m_reserved4	i32	0x4	4	4	0x14	4	m_kind	m_width	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/ImageSets.h	none in header
include/Gruntz/InGameIcon.h	67	CInGameIcon	m_reserved7c	i32	0x7c	4	4	0x80	4	m_glitterSprite		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/InGameIcon.h	none in header
include/Gruntz/InputConfig.h	16	CInputConfig	m_pad00	char[20]	0x0	20	1	0x18	4		m_deviceId	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/InputConfig.h	none in header
include/Gruntz/KitchenSlime.h	34	CKitchenSlime	m_pad54	char[4]	0x54	4	1	0x90	8		m_speed	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/KitchenSlime.h	none in header
include/Gruntz/MapMgr.h	110	CMapMgr	m_reserved1c	i32	0x1c	4	4	0x7c	4	m_openList	m_start	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/MapMgr.cpp:142; src/Gruntz/MapMgr.cpp:221	git log --follow -- include/Gruntz/MapMgr.h	none in header
include/Gruntz/Minimap.h	80	CMinimap	m_pad14	char[16]	0x14	16	1	0x43c	4	m_surface	m_boundsRect	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Minimap.h	none in header
include/Gruntz/MotionState.h	57	CMotionState	m_padbc	char[4]	0xbc	4	1	0x108	8	m_stepDisabled	m_reservedc0	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/MotionState.h	none in header
include/Gruntz/MotionState.h	58	CMotionState	m_reservedc0	DoubleVector3	0xc0	24	8	0x108	8	m_padbc	m_maxStep	7	parse-error	retained-referenced-storage-needs-semantic-review	include/Gruntz/MotionState.h:75; src/Bute/TypeKeyColl.cpp:110; src/Bute/TypeKeyColl.cpp:111; src/Bute/TypeKeyColl.cpp:112; src/Bute/TypeKeyColl.cpp:145; src/Bute/TypeKeyColl.cpp:146; src/Bute/TypeKeyColl.cpp:147	git log --follow -- include/Gruntz/MotionState.h	none in header
include/Gruntz/MovingLogic.h	47	CMovingLogic	m_pad34	char[4]	0x34	4	1	0x150	8		m_motion	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/MovingLogic.h	none in header
include/Gruntz/Multi.h	266	CMulti	m_p5c4	char[4]	0x5c8	4	1	0x660	4	m_lastSenderId	m_processedCommandTick	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Multi.h	none in header
include/Gruntz/Multi.h	268	CMulti	m_reserved5d0	i32	0x5d0	4	4	0x660	4	m_processedCommandTick	m_drainTimer	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/Multi.cpp:457; src/Gruntz/Multi.cpp:490	git log --follow -- include/Gruntz/Multi.h	none in header
include/Gruntz/Multi.h	274	CMulti	m_reserved5e8	i32	0x5e8	4	4	0x660	4	m_lastFrameSyncTime	m_reserved5ec	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/Multi.cpp:403; src/Gruntz/Multi.cpp:462; src/Gruntz/Multi.cpp:495	git log --follow -- include/Gruntz/Multi.h	none in header
include/Gruntz/Multi.h	275	CMulti	m_reserved5ec	i32	0x5ec	4	4	0x660	4	m_reserved5e8	m_playerLatencyMs	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/Multi.cpp:402; src/Gruntz/Multi.cpp:461; src/Gruntz/Multi.cpp:494	git log --follow -- include/Gruntz/Multi.h	none in header
include/Gruntz/Multi.h	281	CMulti	m_pad618	char[72]	0x618	72	1	0x660	4	m_readyPlayerIds		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Multi.h	none in header
include/Gruntz/ObjectDropper.h	38	CObjectDropper	m_pad54	char[4]	0x54	4	1	0x98	8		m_speed	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/ObjectDropper.h	none in header
include/Gruntz/ObjectDropper.h	47	CObjectDropper	m_pad84	char[4]	0x84	4	1	0x98	8	m_scrollMode	CObjectDropper::(anonymous union at /home/sheep/Projects/gruntz/include/Gruntz/ObjectDropper.h:48:5)	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/ObjectDropper.h	none in header
include/Gruntz/PathHazard.h	58	CPathHazard	m_pad54	char[4]	0x54	4	1	0x130	8		m_speed	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/PathHazard.h	none in header
include/Gruntz/PathHazard.h	74	CPathHazard	m_pad11c	char[4]	0x11c	4	1	0x130	8	m_strikeArmed	m_strike	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/PathHazard.h	none in header
include/Gruntz/Play.h	291	CPlay	m_reserved1b4	CString	0x1b4	4	4	0x520	4		m_pad1b8	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Play.h	none in header
include/Gruntz/Play.h	292	CPlay	m_pad1b8	char[4]	0x1b8	4	1	0x520	4	m_reserved1b4	m_returnToMenuOnComplete	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Play.h	none in header
include/Gruntz/Play.h	296	CPlay	m_reserved1c8	i32	0x1c8	4	4	0x520	4	m_initialFramePending	m_savedClock	1	parse-error	retained-referenced-storage-needs-semantic-review	include/Gruntz/Play.h:471	git log --follow -- include/Gruntz/Play.h	none in header
include/Gruntz/Play.h	311	CPlay	m_reserved2f0	i32	0x2f0	4	4	0x520	4	m_dragInProgress	m_cursorFrame	3	parse-error	retained-referenced-storage-needs-semantic-review	include/Gruntz/Play.h:478; src/Gruntz/Play.cpp:6644; src/Gruntz/Play.cpp:6776	git log --follow -- include/Gruntz/Play.h	none in header
include/Gruntz/Play.h	321	CPlay	m_pad324	char[4]	0x324	4	1	0x520	4	m_minimap	m_bootyTiming	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Play.h	none in header
include/Gruntz/Play.h	326	CPlay	m_pad34c	char[4]	0x34c	4	1	0x520	4	m_ambientInitDone	m_syncTiming	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Play.h	none in header
include/Gruntz/Play.h	351	CPlay	m_pad42a	char[6]	0x42a	6	1	0x520	4	m_pathPreviewColor	m_region0Timing	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Play.h	none in header
include/Gruntz/Play.h	395	CPlay	m_reserved51c	i32	0x51c	4	4	0x520	4	m_savedMusicSequence		0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/Play.h	none in header
include/Gruntz/PreviewState.h	28	CPreviewState	m_pad1b4	char[4]	0x1b4	4	1	0x1c4	4		m_previewCountdownMs	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/PreviewState.h	none in header
include/Gruntz/RollingBall.h	34	CRollingBall	m_pad54	char[4]	0x54	4	1	0xa0	8		m_moveSpeed	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/RollingBall.h	none in header
include/Gruntz/SlotHolder.h	10	CSlotHolder	m_pad0	char[8]	0x0	8	1	0x38	4		m_tileX	0	layout-changes	removed-obsolete-model		git log --follow -- include/Gruntz/SlotHolder.h	none in header
include/Gruntz/SlotHolder.h	13	CSlotHolder	m_pad10	char[36]	0x10	36	1	0x38	4	m_tileY	m_tileToken	0	layout-changes	removed-obsolete-model		git log --follow -- include/Gruntz/SlotHolder.h	none in header
include/Gruntz/SplashState.h	31	CSplashState	m_reserved1b4	i32	0x1b4	4	4	0x1bc	4		m_splashCountdownMs	1	parse-error	retained-referenced-storage-needs-semantic-review	include/Gruntz/SplashState.h:14	git log --follow -- include/Gruntz/SplashState.h	none in header
include/Gruntz/SpotLight.h	30	CSpotLight	m_pad54	char[4]	0x54	4	1	0xa8	8		m_angularVelocity	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/SpotLight.h	none in header
include/Gruntz/SpriteRefTable.h	22	CSpriteRef	m_pad0e	u16	0xe	2	2	0x10	4	m_teamColor2		0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/SpriteRefTable.h	none in header
include/Gruntz/State.h	203	CState	m_reserved38	i32	0x38	4	4	0x1b4	4	m_gameResources	m_ready	3	parse-error	retained-referenced-storage-needs-semantic-review	include/Gruntz/State.h:234; src/Gruntz/Attract.cpp:506; src/Gruntz/Attract.cpp:538	git log --follow -- include/Gruntz/State.h	none in header
include/Gruntz/State.h	207	CState	m_reserved44	i32	0x44	4	4	0x1b4	4	m_notifyLatch	m_reserved48	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/Attract.cpp:509; src/Gruntz/Attract.cpp:541; src/Gruntz/GameAssetNamespaces.cpp:35	git log --follow -- include/Gruntz/State.h	none in header
include/Gruntz/State.h	208	CState	m_reserved48	i32	0x48	4	4	0x1b4	4	m_reserved44	m_versionString	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/Attract.cpp:510; src/Gruntz/Attract.cpp:542; src/Gruntz/GameAssetNamespaces.cpp:36	git log --follow -- include/Gruntz/State.h	none in header
include/Gruntz/State.h	211	CState	m_reserved14c	i32	0x14c	4	4	0x1b4	4	m_versionString	m_cursorX	3	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/Attract.cpp:512; src/Gruntz/Attract.cpp:544; src/Gruntz/GameAssetNamespaces.cpp:37	git log --follow -- include/Gruntz/State.h	none in header
include/Gruntz/StatusBarMgr.h	313	CStatusBarMgr	m_reserved2a0	SbiClockPair	0x2a0	16	8	0x630	8	m_gruntWellTargetLevel	m_reserved2b0	1	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/SBI_RectOnly.cpp:4026	git log --follow -- include/Gruntz/StatusBarMgr.h	none in header
include/Gruntz/StatusBarMgr.h	314	CStatusBarMgr	m_reserved2b0	SbiClockPair	0x2b0	16	8	0x630	8	m_reserved2a0	m_conveyorSlots	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/SBI_RectOnly.cpp:3759; src/Gruntz/SBI_RectOnly.cpp:4027	git log --follow -- include/Gruntz/StatusBarMgr.h	none in header
include/Gruntz/StatusBarMgr.h	318	CStatusBarMgr	m_pad314	char[4]	0x314	4	1	0x630	8	m_conveyorSprites	m_rightMachine	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/StatusBarMgr.h	none in header
include/Gruntz/StatusBarMgr.h	323	CStatusBarMgr	m_reserved34c	i32	0x34c	4	4	0x630	8	m_machineDisplay	m_reserved350	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/SBI_RectOnly.cpp:4156; src/Gruntz/SBI_RectOnly.cpp:4263	git log --follow -- include/Gruntz/StatusBarMgr.h	none in header
include/Gruntz/StatusBarMgr.h	324	CStatusBarMgr	m_reserved350	i32	0x350	4	4	0x630	8	m_reserved34c	m_chatBoxDisabled	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/SBI_RectOnly.cpp:4157; src/Gruntz/SBI_RectOnly.cpp:4264	git log --follow -- include/Gruntz/StatusBarMgr.h	none in header
include/Gruntz/StatusBarMgr.h	333	CStatusBarMgr	m_pad374	char[4]	0x374	4	1	0x630	8	m_resourceWindowBackground	m_resourceSlots	0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/StatusBarMgr.h	none in header
include/Gruntz/StatusBarMgr.h	340	CStatusBarMgr	m_pad4e4	char[4]	0x4e4	4	1	0x630	8	m_machineItemSprite	m_fallActive	0	layout-changes	retained-unexplained-layout-span		git log --follow -- include/Gruntz/StatusBarMgr.h	none in header
include/Gruntz/StatusBarMgr.h	352	CStatusBarMgr	m_reserved544	i32	0x544	4	4	0x630	8	m_rewardQueue	m_hlBusy	3	parse-error	retained-referenced-storage-needs-semantic-review	include/Gruntz/StatusBarMgr.h:418; src/Gruntz/SBI_RectOnly.cpp:4167; src/Gruntz/SBI_RectOnly.cpp:4274	git log --follow -- include/Gruntz/StatusBarMgr.h	none in header
include/Gruntz/Teleporter.h	49	CTeleporter	m_pad6c	char[4]	0x6c	4	1	0x70	8	m_tickHandled		0	layout-identical	removed-automatic-alignment		git log --follow -- include/Gruntz/Teleporter.h	none in header
include/Gruntz/TileTriggerLogic.h	123	CTileTriggerLogic	m_reserved14	i32	0x14	4	4	0x9c	4	m_cellKey	m_reserved18	2	layout-changes	retained-referenced-storage-needs-semantic-review	src/Gruntz/TileTriggerSwitchLogic.cpp:1716; src/Gruntz/TileTriggerSwitchLogic.cpp:1744	git log --follow -- include/Gruntz/TileTriggerLogic.h	none in header
