category	rva	size	status	raw_name	normalized_name	api_evidence
winapi	0x0371e0	91	greenfield	FUN_004371e0	FUN_004371e0	GetDlgItem;SetScrollInfo
winapi	0x037260	509	greenfield	FUN_00437260	FUN_00437260	GetScrollInfo;SetScrollInfo
winapi	0x037ff0	231	greenfield	FUN_00437ff0	FUN_00437ff0	GetDlgItem;SendMessageA
winapi	0x038150	145	greenfield	FUN_00438150	FUN_00438150	GetDlgItem
winapi	0x038220	115	greenfield	FUN_00438220	FUN_00438220	GetDlgItem
winapi	0x0391d0	380	tracked	?Render@CCreditsState@@UAEHXZ	?Render@CCreditsState@@UAEHXZ	PostMessageA
winapi	0x039440	70	greenfield	FUN_00439440	FUN_00439440	PostMessageA
winapi	0x0394b0	134	greenfield	FUN_004394b0	FUN_004394b0	PostMessageA;PtInRect
winapi	0x0396f0	696	greenfield	FUN_004396f0	FUN_004396f0	SelectClipRgn;SetBkMode
winapi	0x039a60	377	greenfield	FUN_00439a60	FUN_00439a60	CreateRectRgn;DrawTextA;SetRect
winapi	0x03af90	404	greenfield	FUN_0043af90	FUN_0043af90	GetDlgItem;SendMessageA
winapi	0x03b1a0	280	greenfield	FUN_0043b1a0	FUN_0043b1a0	GetDlgItem
winapi	0x03b310	269	greenfield	FUN_0043b310	FUN_0043b310	GetDlgItem
winapi	0x03b7c0	300	tracked	?LoadCustomWorldInfo@EngineLabelBacklog@@YAXXZ	?LoadCustomWorldInfo@EngineLabelBacklog@@YAXXZ	DialogBoxParamA;GetDlgItem
winapi	0x04a9f0	426	greenfield	FUN_0044a9f0	FUN_0044a9f0	CopyRect;OffsetRect
winapi	0x04d800	1059	greenfield	FUN_0044d800	FUN_0044d800	CopyRect
winapi	0x057db0	2296	greenfield	FUN_00457db0	FUN_00457db0	IntersectRect
winapi	0x064540	284	greenfield	FUN_00464540	FUN_00464540	PostMessageA
winapi	0x075c60	442	greenfield	FUN_00475c60	FUN_00475c60	CopyRect;SetRect
winapi	0x075e90	4905	tracked	?LoadTerrainTileSprites@EngineLabelBacklog@@YAXXZ	?LoadTerrainTileSprites@EngineLabelBacklog@@YAXXZ	PtInRect
winapi	0x077df0	317	greenfield	FUN_00477df0	FUN_00477df0	PtInRect
winapi	0x078060	397	greenfield	FUN_00478060	FUN_00478060	SetRect
winapi	0x07b440	1008	tracked	?BuildRockBreakParticles@EngineLabelBacklog@@YAXXZ	?BuildRockBreakParticles@EngineLabelBacklog@@YAXXZ	PtInRect
